Education,Year,ID,Framing,BotStrategy,Trial,Decision,BotDecision,Payoff
Design,2019,wxlsjjrd,Human,WSLS,4,0,0,1
Design,2019,wxlsjjrd,Human,WSLS,5,0,1,-1
Design,2019,wxlsjjrd,Human,WSLS,6,0,1,-1
Design,2019,wxlsjjrd,Human,WSLS,7,0,1,-1
Design,2019,wxlsjjrd,Human,WSLS,8,1,1,1
Design,2019,wxlsjjrd,Human,WSLS,9,1,0,-1
English,2019,ylh71arq,Human,WSLS,1,0,1,-1
English,2019,ylh71arq,Human,WSLS,10,1,1,1
English,2019,ylh71arq,Human,WSLS,11,1,0,-1
English,2019,ylh71arq,Human,WSLS,12,0,0,1
English,2019,ylh71arq,Human,RS,13,1,0,-1
English,2019,ylh71arq,Human,RS,14,1,0,-1
English,2019,ylh71arq,Human,RS,15,1,0,-1
English,2019,ylh71arq,Human,RS,16,1,0,-1
English,2019,ylh71arq,Human,RS,17,0,1,-1
English,2019,ylh71arq,Human,RS,18,0,1,-1
English,2019,ylh71arq,Human,RS,19,1,0,-1
English,2019,ylh71arq,Human,WSLS,2,0,1,-1
English,2019,ylh71arq,Human,RS,20,0,1,-1
English,2019,ylh71arq,Human,RS,21,0,1,-1
English,2019,ylh71arq,Human,RS,22,1,0,-1
English,2019,ylh71arq,Human,RS,23,1,0,-1
English,2019,ylh71arq,Human,RS,24,0,1,-1
English,2019,ylh71arq,Human,WSLS,3,0,1,-1
English,2019,ylh71arq,Human,WSLS,4,1,1,1
English,2019,ylh71arq,Human,WSLS,5,1,0,-1
English,2019,ylh71arq,Human,WSLS,6,1,0,-1
English,2019,ylh71arq,Human,WSLS,7,1,0,-1
English,2019,ylh71arq,Human,WSLS,8,0,0,1
English,2019,ylh71arq,Human,WSLS,9,0,1,-1
Linguistics,2019,zprc02mj,Human,WSLS,1,1,0,-1
Linguistics,2019,zprc02mj,Human,WSLS,10,0,1,-1
Linguistics,2019,zprc02mj,Human,WSLS,11,1,1,1
Linguistics,2019,zprc02mj,Human,WSLS,12,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,13,0,1,-1
Linguistics,2019,zprc02mj,Human,RS,14,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,15,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,16,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,17,0,1,-1
Linguistics,2019,zprc02mj,Human,RS,18,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,19,1,0,-1
Linguistics,2019,zprc02mj,Human,WSLS,2,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,20,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,21,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,22,0,1,-1
Linguistics,2019,zprc02mj,Human,RS,23,1,0,-1
Linguistics,2019,zprc02mj,Human,RS,24,1,0,-1
Linguistics,2019,zprc02mj,Human,WSLS,3,1,0,-1
Linguistics,2019,zprc02mj,Human,WSLS,4,1,0,-1
Linguistics,2019,zprc02mj,Human,WSLS,5,0,0,1
Linguistics,2019,zprc02mj,Human,WSLS,6,0,1,-1
Linguistics,2019,zprc02mj,Human,WSLS,7,1,1,1
Linguistics,2019,zprc02mj,Human,WSLS,8,0,0,1
Linguistics,2019,zprc02mj,Human,WSLS,9,0,1,-1
Media,2019,zudhabpg,Human,WSLS,1,0,1,-1
Media,2019,zudhabpg,Human,WSLS,10,1,1,1
Media,2019,zudhabpg,Human,WSLS,11,0,0,1
Media,2019,zudhabpg,Human,WSLS,12,1,1,1
Media,2019,zudhabpg,Human,RS,13,1,0,-1
Media,2019,zudhabpg,Human,RS,14,0,1,-1
Media,2019,zudhabpg,Human,RS,15,0,1,-1
Media,2019,zudhabpg,Human,RS,16,1,0,-1
Media,2019,zudhabpg,Human,RS,17,0,1,-1
Media,2019,zudhabpg,Human,RS,18,1,0,-1
Media,2019,zudhabpg,Human,RS,19,0,1,-1
Media,2019,zudhabpg,Human,WSLS,2,1,1,1
Media,2019,zudhabpg,Human,RS,20,1,0,-1
Media,2019,zudhabpg,Human,RS,21,0,1,-1
Media,2019,zudhabpg,Human,RS,22,0,1,-1
Media,2019,zudhabpg,Human,RS,23,0,1,-1
Media,2019,zudhabpg,Human,RS,24,0,1,-1
Media,2019,zudhabpg,Human,WSLS,3,1,0,-1
Media,2019,zudhabpg,Human,WSLS,4,0,0,1
Media,2019,zudhabpg,Human,WSLS,5,0,1,-1
Media,2019,zudhabpg,Human,WSLS,6,0,1,-1
Media,2019,zudhabpg,Human,WSLS,7,1,1,1
Media,2019,zudhabpg,Human,WSLS,8,1,0,-1
Media,2019,zudhabpg,Human,WSLS,9,0,0,1
Information,2019,0rl9t6h6,Human,WSLS,1,1,1,1
Information,2019,0rl9t6h6,Human,WSLS,10,1,1,1
Information,2019,0rl9t6h6,Human,WSLS,11,0,0,1
Information,2019,0rl9t6h6,Human,WSLS,12,0,1,-1
Information,2019,0rl9t6h6,Human,RS,13,0,1,-1
Information,2019,0rl9t6h6,Human,RS,14,0,1,-1
Information,2019,0rl9t6h6,Human,RS,15,0,1,-1
Information,2019,0rl9t6h6,Human,RS,16,1,0,-1
Information,2019,0rl9t6h6,Human,RS,17,1,0,-1
Information,2019,0rl9t6h6,Human,RS,18,1,0,-1
